date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:18:47	713/713	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jan%202024%2020:18:50%20GMT	https://bloxywave.com/robots.txt		(from )
12:18:47	42328/42328	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Jan%202024%2022:02:00%20GMT	https://bloxywave.com/claim/	C:/My%20Web%20Sites/Roblox%20Generator/bloxywave.com/claim/index.html	(from )
12:18:48	45883/45883	---M-Z	200	added ('OK')	text/css	date:Thu,%2020%20Apr%202023%2000:47:08%20GMT	https://bloxywave.com/claim/output.css	C:/My%20Web%20Sites/Roblox%20Generator/bloxywave.com/claim/output.css	(from https://bloxywave.com/claim/)
12:18:48	3370/3370	---M-Z	200	added ('OK')	text/css	date:Thu,%2020%20Apr%202023%2000:47:08%20GMT	https://bloxywave.com/claim/responsev.css	C:/My%20Web%20Sites/Roblox%20Generator/bloxywave.com/claim/responsev.css	(from https://bloxywave.com/claim/)
12:18:48	72313/72313	---M-Z	200	added ('OK')	text/css	date:Thu,%2020%20Apr%202023%2000:47:08%20GMT	https://bloxywave.com/claim/animate.min.css	C:/My%20Web%20Sites/Roblox%20Generator/bloxywave.com/claim/animate.min.css	(from https://bloxywave.com/claim/)
12:18:48	13160/13160	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Dec%202023%2009:33:36%20GMT	https://bloxywave.com/claim/style.css	C:/My%20Web%20Sites/Roblox%20Generator/bloxywave.com/claim/style.css	(from https://bloxywave.com/claim/)
12:18:49	1238/1238	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jan%202024%2020:18:52%20GMT	https://bloxywave.com/robux_gold.png	C:/My%20Web%20Sites/Roblox%20Generator/bloxywave.com/robux_gold.png	(from https://bloxywave.com/claim/)
12:18:49	15927/15927	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Apr%202023%2000:47:08%20GMT	https://bloxywave.com/claim/img/robux_white.png	C:/My%20Web%20Sites/Roblox%20Generator/bloxywave.com/claim/img/robux_white.png	(from https://bloxywave.com/claim/)
12:18:49	698202/698202	---M--	200	added ('OK')	image/webp	date:Thu,%2020%20Apr%202023%2000:47:08%20GMT	https://bloxywave.com/claim/img/roblox-twitter.webp	C:/My%20Web%20Sites/Roblox%20Generator/bloxywave.com/claim/img/roblox-twitter.webp	(from https://bloxywave.com/claim/)
12:18:50	65738/65738	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Apr%202023%2000:47:08%20GMT	https://bloxywave.com/claim/img/man.png	C:/My%20Web%20Sites/Roblox%20Generator/bloxywave.com/claim/img/man.png	(from https://bloxywave.com/claim/style.css)
12:18:50	276919/276919	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Apr%202023%2000:47:08%20GMT	https://bloxywave.com/claim/img/monster_bg.png	C:/My%20Web%20Sites/Roblox%20Generator/bloxywave.com/claim/img/monster_bg.png	(from https://bloxywave.com/claim/style.css)
